CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
H2AK01158,"PELTOLA, MARY",I,1,DEMOCRAT,13443537.46,951851.88,14050828.27,0.0,691260.3,83969.49,0.0,0.0,0.0,0.0,0.0,0.0,10800004.13,AK,00,1615986.3,9969.28,12/31/2024,161309.36,5625.0
H2AK01083,"BEGICH, NICHOLAS III",C,2,REPUBLICAN,2810467.65,176570.41,2747371.58,17659.66,41233.99,104330.06,599.0,0.0,0.0,25000.0,0.0,425000.0,2309088.23,AK,00,318750.0,5000.0,12/31/2024,23031.99,0.0
H4AK00156,"DAHLSTROM, NANCY",C,2,REPUBLICAN,996163.6,435712.04,790351.61,0.0,0.0,205811.99,0.0,0.0,0.0,0.0,0.0,0.0,286828.61,AK,00,262916.02,0.0,12/31/2024,3218.3,0.0
H4AL01255,"HOLMES, THOMAS BETHUNE MR.",C,1,DEMOCRAT,17698.86,0.0,16817.5,0.0,0.0,410.16,10115.56,2500.0,0.0,0.0,0.0,0.0,3076.82,AL,01,2002.63,0.0,12/31/2024,0.0,0.0
H0AL01055,"CARL, JERRY LEE, JR",I,2,REPUBLICAN,2246839.19,547807.76,2631446.59,27316.59,453897.82,69290.42,0.0,0.0,0.0,176202.71,0.0,254535.87,1063039.38,AL,01,634500.0,0.0,12/31/2024,193499.0,84500.0
H8AL02171,"MOORE, FELIX BARRY",I,2,REPUBLICAN,1130187.3,0.0,1467853.12,0.0,462797.48,125131.66,0.0,20000.0,0.0,20000.0,0.0,0.0,649617.39,AL,01,389496.99,0.0,12/31/2024,0.0,0.0
H0AL01097,"AVERHART, JAMES",C,1,DEMOCRAT,8876.56,0.0,6240.74,0.0,121.71,2757.53,0.0,5158.22,0.0,0.0,0.0,34403.22,3718.34,AL,02,0.0,0.0,12/31/2024,0.0,0.0
H0AL02202,"HARVEY-HALL, PHYLLIS",C,1,DEMOCRAT,16284.0,0.0,5610.17,0.0,220.58,10894.41,4800.0,5205.0,0.0,0.0,0.0,6405.0,6279.0,AL,02,0.0,0.0,02/21/2024,0.0,0.0
H2AL02166,"PATEL, VIMAL",C,1,DEMOCRAT,16300.0,0.0,11218.68,0.0,1138.68,-4100.0,0.0,7100.0,0.0,1138.68,0.0,13772.32,9200.0,AL,02,0.0,0.0,02/21/2024,0.0,0.0
H4AL02097,"COLEMAN, MERIKA",C,1,DEMOCRAT,142030.8,0.0,110017.47,3480.0,0.0,32013.33,200.0,50000.0,0.0,0.0,0.0,50000.0,91830.8,AL,02,0.0,0.0,02/14/2024,0.0,0.0
H4AL02113,"GRAY, JEREMY",C,1,DEMOCRAT,163092.8,0.0,162341.36,0.0,0.0,751.44,19537.0,0.0,0.0,0.0,0.0,3447.05,141661.3,AL,02,1250.0,0.0,12/31/2024,10440.0,0.0
H4AL02162,"DANIELS, ANTHONY",C,1,DEMOCRAT,567548.46,0.0,563961.06,0.0,0.0,3587.4,0.0,0.0,0.0,0.0,0.0,56311.73,523686.34,AL,02,42500.0,0.0,12/31/2024,10059.5,0.0
H4AL02170,"FIGURES, SHOMARI C.",C,1,DEMOCRAT,2628628.73,104915.46,2605519.86,0.0,0.0,23108.87,3485.0,25000.0,0.0,25000.0,0.0,12000.0,1875364.5,AL,02,613861.12,5426.12,12/31/2024,27582.31,4300.0
H4AL02196,"GIVAN, JUANDALYNN MS.",C,1,DEMOCRAT,150251.27,0.0,126936.76,0.0,0.0,23314.51,23575.0,31200.0,0.0,500.0,0.0,24500.0,95416.27,AL,02,0.0,0.0,03/31/2024,0.0,0.0
H4AL02212,"LENARD, WILLIE JAMES",C,1,DEMOCRAT,53721.0,0.0,56744.05,0.0,0.0,-3023.05,9000.0,43110.0,0.0,0.0,0.0,43110.0,1611.0,AL,02,0.0,0.0,09/30/2024,0.0,0.0
H4AL02246,"BRACY, NAPOLEON",C,1,DEMOCRAT,202592.38,0.0,200878.7,0.0,0.0,1713.68,0.0,70000.0,0.0,0.0,0.0,84659.73,121792.38,AL,02,10800.0,0.0,11/25/2024,0.0,0.0
